级别,函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,模块名,
0,"加密解密工具.exe","9,094",0,100.00,0.00,"",
0,"endecryption.App.Main","8,623",0,94.82,0.00,"加密解密工具.exe",
1,"[PresentationFramework.ni.dll]","8,623","5,171",94.82,56.86,"PresentationFramework.ni.dll",
2,"endecryption.MainWindow.MenuSaveall_Click","2,221",0,24.42,0.00,"加密解密工具.exe",
3,"endecryption.MainWindow.SaveCipher","2,216",0,24.37,0.00,"加密解密工具.exe",
4,"[PresentationFramework.ni.dll]","2,192","2,192",24.10,24.10,"PresentationFramework.ni.dll",
4,"endecryption.MainWindow.CreateFile",16,0,0.18,0.00,"加密解密工具.exe",
5,"[mscorlib.ni.dll]",16,16,0.18,0.18,"mscorlib.ni.dll",
4,"endecryption.MainWindow.getrichtextboxtext",7,0,0.08,0.00,"加密解密工具.exe",
5,"[PresentationFramework.ni.dll]",7,7,0.08,0.08,"PresentationFramework.ni.dll",
4,"[clr.dll]",1,1,0.01,0.01,"clr.dll",
3,"[clr.dll]",5,5,0.05,0.05,"clr.dll",
2,"endecryption.MainWindow.SaveClear","1,055",0,11.60,0.00,"加密解密工具.exe",
3,"[PresentationFramework.ni.dll]","1,031","1,031",11.34,11.34,"PresentationFramework.ni.dll",
3,"endecryption.MainWindow.CreateFile",16,0,0.18,0.00,"加密解密工具.exe",
4,"[mscorlib.ni.dll]",16,16,0.18,0.18,"mscorlib.ni.dll",
3,"endecryption.MainWindow.getrichtextboxtext",8,0,0.09,0.00,"加密解密工具.exe",
4,"[PresentationFramework.ni.dll]",8,8,0.09,0.09,"PresentationFramework.ni.dll",
2,"endecryption.MainWindow.MenuAbout_Click",63,0,0.69,0.00,"加密解密工具.exe",
3,"endecryption.AboutBox..ctor",61,0,0.67,0.00,"加密解密工具.exe",
4,"endecryption.AboutBox.InitializeComponent",33,0,0.36,0.00,"加密解密工具.exe",
5,"[System.Windows.Forms.ni.dll]",22,22,0.24,0.24,"System.Windows.Forms.ni.dll",
5,"endecryption.Properties.Resources.get_CT_MP",9,0,0.10,0.00,"加密解密工具.exe",
6,"[mscorlib.ni.dll]",8,8,0.09,0.09,"mscorlib.ni.dll",
6,"[clr.dll]",1,1,0.01,0.01,"clr.dll",
5,"[clr.dll]",2,2,0.02,0.02,"clr.dll",
4,"[clr.dll]",26,26,0.29,0.29,"clr.dll",
4,"[System.Windows.Forms.ni.dll]",2,2,0.02,0.02,"System.Windows.Forms.ni.dll",
3,"[clr.dll]",2,2,0.02,0.02,"clr.dll",
2,"endecryption.MainWindow.DESencrypt_Click",41,0,0.45,0.00,"加密解密工具.exe",
3,"DESalgorithm.DES.Encrypt",33,0,0.36,0.00,"DESalgorithm.dll",
4,"[mscorlib.ni.dll]",33,33,0.36,0.36,"mscorlib.ni.dll",
3,"endecryption.MainWindow.getrichtextboxtext",6,0,0.07,0.00,"加密解密工具.exe",
4,"[PresentationFramework.ni.dll]",6,6,0.07,0.07,"PresentationFramework.ni.dll",
3,"[clr.dll]",2,2,0.02,0.02,"clr.dll",
2,"endecryption.MainWindow.RSAencrypt_Click",36,0,0.40,0.00,"加密解密工具.exe",
3,"RSAalgorithm.RSA.RSAKey",28,0,0.31,0.00,"RSAalgorithm.dll",
4,"[mscorlib.ni.dll]",28,28,0.31,0.31,"mscorlib.ni.dll",
3,"[clr.dll]",3,3,0.03,0.03,"clr.dll",
3,"endecryption.MainWindow.setrichtextboxtext",2,0,0.02,0.00,"加密解密工具.exe",
4,"[PresentationFramework.ni.dll]",2,2,0.02,0.02,"PresentationFramework.ni.dll",
3,"[PresentationFramework.ni.dll]",2,2,0.02,0.02,"PresentationFramework.ni.dll",
3,"endecryption.MainWindow.getrichtextboxtext",1,0,0.01,0.00,"加密解密工具.exe",
4,"[PresentationFramework.ni.dll]",1,1,0.01,0.01,"PresentationFramework.ni.dll",
2,"endecryption.MainWindow.MD5encrypt_Click",14,0,0.15,0.00,"加密解密工具.exe",
