类型,根函数名,函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"Root","[360GarbageCleanerShellExt64.dll]","[360GarbageCleanerShellExt64.dll]",11,2,0.12,0.02,
"Caller","[360GarbageCleanerShellExt64.dll]","[360GarbageCleanerShellExt64.dll]",11,2,0.12,0.02,
"Caller","[360GarbageCleanerShellExt64.dll]","[PresentationFramework.ni.dll]",1,0,0.01,0.00,
"Callee","[360GarbageCleanerShellExt64.dll]","[360GarbageCleanerShellExt64.dll]",11,2,0.12,0.02,
"Callee","[360GarbageCleanerShellExt64.dll]","[kernel32.dll]",5,5,0.05,0.05,
"Callee","[360GarbageCleanerShellExt64.dll]","[KernelBase.dll]",1,1,0.01,0.01,
"Callee","[360GarbageCleanerShellExt64.dll]","[ntdll.dll]",1,1,0.01,0.01,
"Callee","[360GarbageCleanerShellExt64.dll]","[user32.dll]",2,2,0.02,0.02,
"Root","[360udiskguard64.dll]","[360udiskguard64.dll]",4,1,0.04,0.01,
"Caller","[360udiskguard64.dll]","[360udiskguard64.dll]",4,1,0.04,0.01,
"Callee","[360udiskguard64.dll]","[360udiskguard64.dll]",4,1,0.04,0.01,
"Callee","[360udiskguard64.dll]","[KernelBase.dll]",3,3,0.03,0.03,
"Root","[clr.dll]","[clr.dll]",53,53,0.58,0.58,
"Caller","[clr.dll]","endecryption.AboutBox..ctor",26,26,0.29,0.29,
"Caller","[clr.dll]","endecryption.AboutBox.InitializeComponent",2,2,0.02,0.02,
"Caller","[clr.dll]","endecryption.MainWindow.AESdecrypt_Click",4,4,0.04,0.04,
"Caller","[clr.dll]","endecryption.MainWindow.AESencrypt_Click",4,4,0.04,0.04,
"Caller","[clr.dll]","endecryption.MainWindow.DESencrypt_Click",2,2,0.02,0.02,
"Caller","[clr.dll]","endecryption.MainWindow.MD5encrypt_Click",3,3,0.03,0.03,
"Caller","[clr.dll]","endecryption.MainWindow.MenuAbout_Click",2,2,0.02,0.02,
"Caller","[clr.dll]","endecryption.MainWindow.MenuSaveall_Click",5,5,0.05,0.05,
"Caller","[clr.dll]","endecryption.MainWindow.RSAencrypt_Click",3,3,0.03,0.03,
"Caller","[clr.dll]","endecryption.MainWindow.SaveCipher",1,1,0.01,0.01,
"Caller","[clr.dll]","endecryption.Properties.Resources.get_CT_MP",1,1,0.01,0.01,
"Root","[d3d9.dll]","[d3d9.dll]",246,246,2.71,2.71,
"Caller","[d3d9.dll]","[igdumdim64.dll]",246,246,2.71,2.71,
"Root","[FtpShellExt.dll]","[FtpShellExt.dll]",19,1,0.21,0.01,
"Caller","[FtpShellExt.dll]","[FtpShellExt.dll]",19,1,0.21,0.01,
"Callee","[FtpShellExt.dll]","[FtpShellExt.dll]",19,1,0.21,0.01,
"Callee","[FtpShellExt.dll]","[KernelBase.dll]",1,1,0.01,0.01,
"Callee","[FtpShellExt.dll]","[mfc90u.dll]",2,2,0.02,0.02,
"Callee","[FtpShellExt.dll]","[user32.dll]",1,1,0.01,0.01,
"Callee","[FtpShellExt.dll]","[ws2_32.dll]",14,14,0.15,0.15,
"Root","[GROOVEEX.DLL]","[GROOVEEX.DLL]",21,4,0.23,0.04,
"Caller","[GROOVEEX.DLL]","[GROOVEEX.DLL]",21,3,0.23,0.03,
"Caller","[GROOVEEX.DLL]","[KernelBase.dll]",6,0,0.07,0.00,
"Caller","[GROOVEEX.DLL]","[msvcr90.dll]",5,1,0.05,0.01,
"Caller","[GROOVEEX.DLL]","[PresentationFramework.ni.dll]",1,0,0.01,0.00,
"Callee","[GROOVEEX.DLL]","[GROOVEEX.DLL]",21,3,0.23,0.03,
"Callee","[GROOVEEX.DLL]","[KernelBase.dll]",15,15,0.16,0.16,
"Callee","[GROOVEEX.DLL]","[msvcr90.dll]",5,1,0.05,0.01,
"Callee","[GROOVEEX.DLL]","[user32.dll]",1,1,0.01,0.01,
"Root","[igdumdim64.dll]","[igdumdim64.dll]",395,136,4.34,1.50,
"Caller","[igdumdim64.dll]","[igdumdim64.dll]",246,122,2.71,1.34,
"Callee","[igdumdim64.dll]","[d3d9.dll]",246,246,2.71,2.71,
"Callee","[igdumdim64.dll]","[igdumdim64.dll]",246,122,2.71,1.34,
"Callee","[igdumdim64.dll]","[igdusc64.dll]",8,0,0.09,0.00,
"Callee","[igdumdim64.dll]","[kernel32.dll]",3,3,0.03,0.03,
"Callee","[igdumdim64.dll]","[ntdll.dll]",2,2,0.02,0.02,
"Root","[igdusc64.dll]","[igdusc64.dll]",8,6,0.09,0.07,
"Caller","[igdusc64.dll]","[igdumdim64.dll]",8,0,0.09,0.00,
"Caller","[igdusc64.dll]","[igdusc64.dll]",8,6,0.09,0.07,
"Callee","[igdusc64.dll]","[igdusc64.dll]",8,6,0.09,0.07,
"Callee","[igdusc64.dll]","[ntdll.dll]",2,2,0.02,0.02,
"Root","[kernel32.dll]","[kernel32.dll]",9,9,0.10,0.10,
"Caller","[kernel32.dll]","[360GarbageCleanerShellExt64.dll]",5,5,0.05,0.05,
"Caller","[kernel32.dll]","[igdumdim64.dll]",3,3,0.03,0.03,
"Caller","[kernel32.dll]","[ShellIco.dll]",1,1,0.01,0.01,
