函数名,独占样本数,独占样本数百分比,指令地址,源行开始,源字符开始,源行结束,源字符结束,
"[PresentationFramework.ni.dll]","5,171",56.86,0x7FFB22CFC4C6,0,0,0,0,
"endecryption.MainWindow.SaveCipher","2,192",24.10,0x7FFADEEF79BD,349,13,349,42,
"endecryption.MainWindow.SaveClear","1,031",11.34,0x7FFADEEF7CCD,381,13,381,42,
"[d3d9.dll]",132,1.45,0x7FFB3AFE9F56,0,0,0,0,
"[d3d9.dll]",62,0.68,0x7FFB3AFE967A,0,0,0,0,
"[clr.dll]",53,0.58,0x7FFB3E4E46D5,0,0,0,0,
"[igdumdim64.dll]",48,0.53,0x7FFB0D6A0234,0,0,0,0,
"[mscorlib.ni.dll]",32,0.35,0x7FFB3D3FF851,0,0,0,0,
"[igdumdim64.dll]",31,0.34,0x7FFB0D66AF3D,0,0,0,0,
"[mscorlib.ni.dll]",28,0.31,0x7FFB3CEFD570,0,0,0,0,
"endecryption.MainWindow.getrichtextboxtext",27,0.30,0x7FFADEEF6AE2,152,13,152,107,
"[mscorlib.ni.dll]",25,0.27,0x7FFB3C5FB971,0,0,0,0,
"[d3d9.dll]",15,0.16,0x7FFB3AFF3491,0,0,0,0,
"[d3d9.dll]",15,0.16,0x7FFB3AFF37FE,0,0,0,0,
"[ws2_32.dll]",12,0.13,0x7FFB4D646E4F,0,0,0,0,
"[System.Windows.Forms.ni.dll]",11,0.12,0x7FFB279691D0,0,0,0,0,
"[igdumdim64.dll]",10,0.11,0x7FFB0D5DCA8F,0,0,0,0,
"[igdumdim64.dll]",10,0.11,0x7FFB0D66AEE8,0,0,0,0,
"[d3d9.dll]",9,0.10,0x7FFB3AFF3541,0,0,0,0,
"[d3d9.dll]",9,0.10,0x7FFB3AFFA5EE,0,0,0,0,
"[KernelBase.dll]",9,0.10,0x7FFB4D0C4B4C,0,0,0,0,
"endecryption.MainWindow.setrichtextboxtext",8,0.09,0x7FFADEEF6CAF,157,13,157,43,
"[mscorlib.ni.dll]",7,0.08,0x7FFB3C598B9A,0,0,0,0,
"[mscorlib.ni.dll]",7,0.08,0x7FFB3C5BAEE6,0,0,0,0,
