函数名,独占样本数,独占样本数百分比,非独占样本数,非独占样本数百分比,源行开始,源字符开始,源行结束,源字符结束,
"[PresentationFramework.ni.dll]","5,178",56.94,"8,630",94.90,0,0,0,0,
"endecryption.MainWindow.SaveCipher","2,192",24.10,"2,197",24.16,349,13,349,42,
"endecryption.MainWindow.SaveClear","1,031",11.34,"1,033",11.36,381,13,381,42,
"[d3d9.dll]",246,2.71,246,2.71,0,0,0,0,
"[igdumdim64.dll]",136,1.50,395,4.34,0,0,0,0,
"[mscorlib.ni.dll]",103,1.13,103,1.13,0,0,0,0,
"[clr.dll]",53,0.58,53,0.58,0,0,0,0,
"endecryption.MainWindow.getrichtextboxtext",27,0.30,27,0.30,152,13,152,107,
"[System.Windows.Forms.ni.dll]",24,0.26,24,0.26,0,0,0,0,
"[KernelBase.dll]",23,0.25,23,0.25,0,0,0,0,
"[ws2_32.dll]",14,0.15,14,0.15,0,0,0,0,
"[kernel32.dll]",9,0.10,9,0.10,0,0,0,0,
"[ntdll.dll]",9,0.10,9,0.10,0,0,0,0,
"endecryption.MainWindow.setrichtextboxtext",8,0.09,8,0.09,157,13,157,43,
"endecryption.MainWindow.getrichtextboxtext",7,0.08,7,0.08,0,0,0,0,
"[igdusc64.dll]",6,0.07,8,0.09,0,0,0,0,
"[mfc90u.dll]",6,0.07,6,0.07,0,0,0,0,
"[user32.dll]",4,0.04,4,0.04,0,0,0,0,
"[msvcr90.dll]",3,0.03,5,0.05,0,0,0,0,
"[ShellIco.dll]",3,0.03,12,0.13,0,0,0,0,
"[360GarbageCleanerShellExt64.dll]",2,0.02,11,0.12,0,0,0,0,
"[GROOVEEX.DLL]",2,0.02,21,0.23,0,0,0,0,
"endecryption.MainWindow.RSAencrypt_Click",2,0.02,6,0.07,187,13,187,57,
"[360udiskguard64.dll]",1,0.01,4,0.04,0,0,0,0,
"[FtpShellExt.dll]",1,0.01,19,0.21,0,0,0,0,
"[ShellIco.dll]",1,0.01,1,0.01,0,0,0,0,
"[WindowsBase.ni.dll]",1,0.01,1,0.01,0,0,0,0,
"endecryption.MainWindow.setrichtextboxtext",1,0.01,1,0.01,158,13,158,42,
"endecryption.MainWindow.setrichtextboxtext",1,0.01,1,0.01,159,13,159,48,
