标记 ID,标记名,时间戳,CPU 使用率,
0,"启动程序",0.00,0,
1,"VSPXAutoMark",500.00,0,
2,"VSPXAutoMark","1,000.00",0,
3,"VSPXAutoMark","1,500.00",0,
4,"VSPXAutoMark","2,000.00",0,
5,"VSPXAutoMark","2,500.00",7,
6,"VSPXAutoMark","3,000.00",6,
7,"VSPXAutoMark","3,500.00",8,
8,"VSPXAutoMark","4,000.00",10,
9,"VSPXAutoMark","4,500.00",8,
10,"VSPXAutoMark","5,000.00",10,
11,"VSPXAutoMark","5,500.00",4,
12,"VSPXAutoMark","6,000.00",1,
13,"VSPXAutoMark","6,500.00",2,
14,"VSPXAutoMark","7,000.00",3,
15,"VSPXAutoMark","7,500.00",3,
16,"VSPXAutoMark","8,000.00",3,
17,"VSPXAutoMark","8,500.00",4,
18,"VSPXAutoMark","9,000.00",7,
19,"VSPXAutoMark","9,500.00",4,
20,"VSPXAutoMark","10,000.00",3,
21,"VSPXAutoMark","10,500.00",5,
22,"VSPXAutoMark","11,000.00",2,
23,"VSPXAutoMark","11,500.00",5,
24,"VSPXAutoMark","12,000.00",3,
25,"VSPXAutoMark","12,500.00",5,
26,"VSPXAutoMark","13,000.00",3,
27,"VSPXAutoMark","13,500.00",7,
28,"VSPXAutoMark","14,000.00",7,
29,"VSPXAutoMark","14,500.00",9,
30,"VSPXAutoMark","15,000.00",9,
31,"VSPXAutoMark","15,500.00",4,
32,"VSPXAutoMark","16,000.00",7,
33,"VSPXAutoMark","16,500.00",3,
34,"VSPXAutoMark","17,000.00",4,
35,"VSPXAutoMark","17,500.00",3,
36,"VSPXAutoMark","18,000.00",6,
37,"VSPXAutoMark","18,500.00",8,
38,"VSPXAutoMark","19,000.00",9,
39,"VSPXAutoMark","19,500.00",10,
40,"VSPXAutoMark","20,000.00",5,
41,"VSPXAutoMark","20,500.00",4,
42,"VSPXAutoMark","21,000.00",7,
43,"VSPXAutoMark","21,500.00",5,
44,"VSPXAutoMark","22,000.00",6,
45,"VSPXAutoMark","22,500.00",2,
46,"VSPXAutoMark","23,000.00",5,
47,"VSPXAutoMark","23,500.00",5,
48,"VSPXAutoMark","24,000.00",10,
49,"VSPXAutoMark","24,500.00",28,
50,"VSPXAutoMark","25,000.00",54,
51,"VSPXAutoMark","25,500.00",42,
52,"VSPXAutoMark","26,000.00",29,
53,"VSPXAutoMark","26,500.00",1,
54,"VSPXAutoMark","27,000.00",30,
55,"VSPXAutoMark","27,500.00",22,
56,"VSPXAutoMark","28,000.00",9,
57,"VSPXAutoMark","28,500.00",4,
58,"VSPXAutoMark","29,000.00",9,
59,"VSPXAutoMark","29,500.00",0,
60,"VSPXAutoMark","30,000.00",0,
61,"VSPXAutoMark","30,500.00",3,
62,"VSPXAutoMark","31,000.00",14,
63,"VSPXAutoMark","31,500.00",36,
64,"VSPXAutoMark","32,000.00",1,
65,"VSPXAutoMark","32,500.00",1,
66,"VSPXAutoMark","33,000.00",2,
67,"VSPXAutoMark","33,500.00",2,
68,"VSPXAutoMark","34,000.00",1,
69,"VSPXAutoMark","34,500.00",1,
70,"VSPXAutoMark","35,000.00",1,
71,"VSPXAutoMark","35,500.00",10,
72,"VSPXAutoMark","36,000.00",0,
73,"VSPXAutoMark","36,500.00",0,
74,"VSPXAutoMark","37,000.00",1,
75,"VSPXAutoMark","37,500.00",0,
76,"VSPXAutoMark","38,000.00",0,
77,"VSPXAutoMark","38,500.00",1,
78,"VSPXAutoMark","39,000.00",3,
79,"VSPXAutoMark","39,500.00",5,
80,"VSPXAutoMark","40,000.00",5,
81,"VSPXAutoMark","40,500.00",5,
82,"VSPXAutoMark","41,000.00",7,
83,"VSPXAutoMark","41,500.00",5,
84,"VSPXAutoMark","42,000.00",6,
85,"VSPXAutoMark","42,500.00",1,
86,"VSPXAutoMark","43,000.00",4,
87,"VSPXAutoMark","43,500.00",4,
88,"VSPXAutoMark","44,000.00",3,
89,"VSPXAutoMark","44,500.00",5,
90,"VSPXAutoMark","45,000.00",2,
91,"VSPXAutoMark","45,500.00",0,
"4,294,967,295","程序结束","47,726.38",0,
